n, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048
Naive Algorithm,52375,116630,433583,1742970,7060969,21081397,90630082,687983123,5345620331,42948195260,
Naive By Squares Algorithm,50216,56695,235420,1047510,6427605,20364339,41099086,161752732,720578485,3233056805,
Horner's Algorithm,31318,39957,104751,280776,820189,3340152,12639227,14153256,53931616,213909521,
Fast Fourier Transform,49135,23218,49136,107991,241359,541033,1218675,3496737,7506971,25931797,
